antecedents,consequents,support,confidence,lift,business_score,business_strategy,execution_priority
"MED CLEANING WIPES LENS & SCREEN (S), OPPO A3X 4/128GB OCEAN BLUE","APP 20W USB-C POWER ADAPTER-ITS (NEW), IPHONE 13 128GB STARLIGHT, MED LENS & SCREEN CLEANING WIPES (C), TECNO CAMON 40 8/256 BLACK",0.012,0.75,62.5,0.5625000000000001,Bundling Utama,Prioritas Tinggi
"MED CLEANING WIPES LENS & SCREEN (S), OPPO A3X 4/128GB OCEAN BLUE","MED LENS & SCREEN CLEANING WIPES (C), TECNO CAMON 40 8/256 BLACK",0.012,0.75,62.5,0.5625000000000001,Bundling Utama,Prioritas Tinggi
"MED CLEANING WIPES LENS & SCREEN (S), OPPO A3X 4/128GB OCEAN BLUE","IPHONE 13 128GB STARLIGHT, MED LENS & SCREEN CLEANING WIPES (C), TECNO CAMON 40 8/256 BLACK",0.012,0.75,62.5,0.5625000000000001,Bundling Utama,Prioritas Tinggi
"APP 20W USB-C POWER ADAPTER-ITS (NEW), MED LENS & SCREEN CLEANING WIPES (C), TECNO CAMON 40 8/256 BLACK",OPPO A3X 4/128GB OCEAN BLUE,0.012,1.0,41.666666666666664,0.5,Bundling Utama,Prioritas Tinggi
"IPHONE 13 128GB STARLIGHT, MED LENS & SCREEN CLEANING WIPES (C), TECNO CAMON 40 8/256 BLACK",OPPO A3X 4/128GB OCEAN BLUE,0.012,1.0,41.666666666666664,0.5,Bundling Utama,Prioritas Tinggi
"MED CLEANING WIPES LENS & SCREEN (S), MED LENS & SCREEN CLEANING WIPES (C), TECNO CAMON 40 8/256 BLACK",OPPO A3X 4/128GB OCEAN BLUE,0.012,1.0,41.666666666666664,0.5,Bundling Utama,Prioritas Tinggi
"MED LENS & SCREEN CLEANING WIPES (C), TECNO CAMON 40 8/256 BLACK",OPPO A3X 4/128GB OCEAN BLUE,0.012,1.0,41.666666666666664,0.5,Bundling Utama,Prioritas Tinggi
"APP 20W USB-C POWER ADAPTER-ITS (NEW), IPHONE 13 128GB STARLIGHT, MED CLEANING WIPES LENS & SCREEN (S), MED LENS & SCREEN CLEANING WIPES (C), TECNO CAMON 40 8/256 BLACK",OPPO A3X 4/128GB OCEAN BLUE,0.012,1.0,41.666666666666664,0.5,Bundling Utama,Prioritas Tinggi
"IPHONE 13 128GB STARLIGHT, MED CLEANING WIPES LENS & SCREEN (S), MED LENS & SCREEN CLEANING WIPES (C), TECNO CAMON 40 8/256 BLACK",OPPO A3X 4/128GB OCEAN BLUE,0.012,1.0,41.666666666666664,0.5,Bundling Utama,Prioritas Tinggi
"APP 20W USB-C POWER ADAPTER-ITS (NEW), IPHONE 13 128GB STARLIGHT, MED LENS & SCREEN CLEANING WIPES (C), TECNO CAMON 40 8/256 BLACK",OPPO A3X 4/128GB OCEAN BLUE,0.012,1.0,41.666666666666664,0.5,Bundling Utama,Prioritas Tinggi
"SAMSUNG GALAXY A06 4/64 BLUE +CHARGER, SAMSUNG GALAXY A56 5G 12/256 OLIVE","APP 20W USB-C POWER ADAPTER-ITS (NEW), XIAOMI GTV 43 A PRO UHD QLED 2026",0.012,1.0,41.666666666666664,0.5,Bundling Utama,Prioritas Tinggi
